name,gpu_time,cpu_time,accuracy,flops,params
depth_8_8_2,0.0,1.459,0.8219696879386902,638362531,11918814
depth_8_8_2,0.0,1.111,0.7651515007019043,766388086,8603723
depth_8_8_2,0.0,1.286,0.8181818127632141,763182179,13094890
depth_16_16_2,0.0,1.354,0.7916666865348816,825372818,12615674
depth_16_16_2,0.0,1.317,0.8409090638160706,850922818,13131659
depth_16_16_2,0.0,1.464,0.8219696879386902,832396956,13025842
depth_16_16_2,0.0,1.45,0.7727272510528564,650050875,7856606
depth_16_16_2,0.0,0.989,0.7196969985961914,630075803,4790747
depth_32_32_2,0.0,2.189,0.8068181872367859,960251856,12888511
depth_32_32_2,0.0,1.4289999999999998,0.689393937587738,795118455,8275211
depth_32_32_2,0.0,1.507,0.7045454382896423,724347277,12413568
depth_32_32_2,0.0,1.626,0.7007575631141663,998325309,10614587
depth_32_32_2,0.0,1.483,0.7121211886405945,803310694,6259278
depth_64_64_2,0.0,2.299,0.6969696879386902,1138582778,12145160
depth_64_64_2,0.0,2.359,0.7803030014038086,1278303900,13080274
depth_64_64_2,0.0,2.771,0.7121211886405945,1000426785,11951060
depth_64_64_2,0.0,2.367,0.7310606241226196,1302250819,12358523
depth_64_64_2,0.0,2.4130000000000003,0.7045454382896423,1077249135,10879788
fwdPass_4_2_2,0.0,2.686,0.8106060606060606,512999391,8004822
fwdPass_4_2_2,0.0,3.009,0.8106060606060606,605277646,11975850
fwdPass_4_2_2,0.0,3.337,0.7954545454545454,520552754,9605270
fwdPass_4_2_2,0.0,3.735,0.8446969696969697,641156550,11667283
fwdPass_4_2_2,0.0,3.039,0.7727272727272727,693940134,12801174
fwdPass_8_2_2,0.0,5.420999999999999,0.8787878787878788,623148069,7598068
fwdPass_8_2_2,0.0,7.469,0.7424242424242424,683435337,12978072
fwdPass_8_2_2,0.0,4.718,0.8977272727272727,354982395,9615552
fwdPass_8_2_2,0.0,5.811,0.8484848484848485,687127611,13081083
fwdPass_8_2_2,0.0,5.862,0.821969696969697,692997133,12980360
fwdPass_16_2_2,0.0,12.634,0.9204545454545454,523525542,8893330
fwdPass_16_2_2,0.0,10.28,0.9166666666666666,548742186,6129238
fwdPass_16_2_2,0.0,10.714,0.928030303030303,436675806,9938568
fwdPass_16_2_2,0.0,11.518,0.9318181818181818,480041035,12683703
fwdPass_16_2_2,0.0,9.342,0.928030303030303,502851230,8381075
fwdPass_32_2_2,0.0,28.149,0.9507575757575758,682835356,12802438
fwdPass_32_2_2,0.0,30.581,0.9090909090909092,710839618,13110795
fwdPass_32_2_2,0.0,16.945,0.9318181818181818,247082019,7217811
depth_32_32_1,0.0,1.048,0.7386363744735718,352224210,8617726
fwdPass_32_2_2,0.0,13.27,0.9053030303030304,366342759,7888348
fwdPass_32_2_2,0.0,29.13,0.9242424242424242,660088101,9545450
fwdPass_16_2_2,0.0,10.083,0.9242424242424242,365535786,9612280
depth_16_16_1,0.0,1.294,0.7083333134651184,631299231,11451404
fwdPass_64_2_2,0.0,26.531,0.9204545454545454,294843409,8637138
fwdPass_8_2_2,0.0,4.872999999999999,0.9090909090909092,530143950,9098358
depth_4_4_1,0.0,1.048,0.7575757503509521,718802242,13115531
fwdPass_4_2_2,0.0,3.557,0.7727272727272727,618502054,10317056
depth_8_8_1,0.0,1.261,0.7424242496490479,720870405,12987326
hybrid_16_4_2,0.0,3.536,0.8712121212121212,428412293,10344878
hybrid_32_4_2,0.0,7.574,0.9128787878787878,727532154,13111882
depth_4_4_2,0.0,1.242,0.8636363744735718,720920220,13012234
depth_8_8_2,0.0,1.21,0.875,763232386,13119994
depth_16_16_2,0.0,1.423,0.7916666865348816,827224555,12897924
fwdPass_4_2_2,0.0,3.043,0.7083333333333334,709360962,13110795
fwdPass_8_2_2,0.0,7.482,0.8939393939393939,705615653,12982666
fwdPass_16_2_2,0.0,11.531,0.8787878787878788,682041854,13002976
depth_32_32_2,0.0,1.108,0.6818181872367859,537260669,9006054
hybrid_16_8_2,0.0,1.713,0.696969696969697,765011592,12863011
hybrid_32_8_2,0.0,2.927,0.8787878787878788,410489321,7657074
depth_4_4_2,0.0,0.945,0.8560606241226196,372941927,11626658
depth_4_4_2,0.0,1.258,0.875,720870405,12987326
depth_4_4_2,0.0,1.207,0.8939393758773804,725973060,13065250
depth_4_4_2,0.0,1.229,0.875,704367086,12906687
depth_4_4_2,0.0,0.761,0.4772727191448211,401107969,4245231
fwdPass_32_2_2,0.0,25.853,0.9545454545454546,703139390,10001483
fwdPass_32_2_2,0.0,25.139000000000003,0.9545454545454546,703139390,10001483
fwdPass_32_2_2,0.0,29.56,0.9053030303030304,710789417,13085695
hybrid_16_4_2,0.0,3.074,0.8409090909090909,346503459,7978142
hybrid_16_4_2,0.0,3.702,0.7159090909090909,727361686,12907819
hybrid_16_4_2,0.0,4.26,0.8863636363636364,732456243,12989694
hybrid_16_4_2,0.0,4.445,0.7462121212121212,733977014,13011026
hybrid_16_4_2,0.0,3.143,0.7045454545454546,732452155,12986122
hybrid_16_8_2,0.0,2.126,0.7689393939393939,682357026,8243483
hybrid_16_8_2,0.0,1.979,0.7992424242424242,770254794,13019210
hybrid_16_8_2,0.0,1.739,0.6856060606060606,775421250,13118859
hybrid_16_8_2,0.0,1.776,0.6515151515151515,752952058,12910004
hybrid_16_8_2,0.0,1.723,0.6818181818181818,775421250,13118859
depth_4_2_2,0.0,1.255,0.8484848737716675,732506058,13014602
hybrid_32_4_2,0.0,5.9030000000000005,0.696969696969697,709468670,13006324
hybrid_32_4_2,0.0,7.484,0.9128787878787878,734984487,11030951
depth_8_8_2,0.407,9.898,0.8219696879386902,638362531,11918814
depth_8_8_2,0.2669999999999999,7.809,0.7651515007019043,766388086,8603723
depth_8_8_2,0.4009999999999999,9.212,0.8181818127632141,763182179,13094890
depth_16_16_2,0.478,9.458,0.7916666865348816,825372818,12615674
depth_16_16_2,0.448,8.866000000000001,0.8409090638160706,850922818,13131659
depth_16_16_2,0.4539999999999999,10.599,0.8219696879386902,832396956,13025842
depth_16_16_2,0.447,8.76,0.7727272510528564,650050875,7856606
depth_16_16_2,0.456,6.257000000000001,0.7196969985961914,630075803,4790747
depth_32_32_2,0.565,11.99,0.8068181872367859,960251856,12888511
depth_32_32_2,0.508,8.487,0.689393937587738,795118455,8275211
depth_32_32_2,0.519,10.442,0.7045454382896423,724347277,12413568
depth_32_32_2,0.516,10.028,0.7007575631141663,998325309,10614587
depth_32_32_2,0.522,8.855,0.7121211886405945,803310694,6259278
depth_64_64_2,0.694,14.257,0.6969696879386902,1138582778,12145160
depth_64_64_2,0.5900000000000001,15.601,0.7803030014038086,1278303900,13080274
depth_64_64_2,0.587,13.894,0.7121211886405945,1000426785,11951060
depth_64_64_2,0.6920000000000001,12.378,0.7310606241226196,1302250819,12358523
depth_64_64_2,0.596,14.086,0.7045454382896423,1077249135,10879788
fwdPass_4_2_2,0.101,23.040000000000003,0.8106060606060606,512999391,8004822
fwdPass_4_2_2,0.105,28.275,0.8106060606060606,605277646,11975850
fwdPass_4_2_2,0.116,25.549,0.7954545454545454,520552754,9605270
fwdPass_4_2_2,0.114,29.734,0.8446969696969697,641156550,11667283
fwdPass_4_2_2,0.1,27.103,0.7727272727272727,693940134,12801174
fwdPass_8_2_2,0.1689999999999999,54.778,0.8787878787878788,623148069,7598068
fwdPass_8_2_2,0.204,63.334,0.7424242424242424,683435337,12978072
fwdPass_8_2_2,0.1969999999999999,34.059,0.8977272727272727,354982395,9615552
fwdPass_8_2_2,0.165,58.566,0.8484848484848485,687127611,13081083
fwdPass_8_2_2,0.1689999999999999,56.422,0.821969696969697,692997133,12980360
fwdPass_16_2_2,0.37,98.082,0.9204545454545454,523525542,8893330
fwdPass_16_2_2,0.308,106.139,0.9166666666666666,548742186,6129238
fwdPass_16_2_2,0.366,83.524,0.928030303030303,436675806,9938568
fwdPass_16_2_2,0.359,89.645,0.9318181818181818,480041035,12683703
fwdPass_16_2_2,0.305,83.29,0.928030303030303,502851230,8381075
fwdPass_32_2_2,0.751,282.006,0.9507575757575758,682835356,12802438
fwdPass_32_2_2,0.638,241.773,0.9090909090909092,710839618,13110795
fwdPass_32_2_2,0.683,113.23,0.9318181818181818,247082019,7217811
depth_32_32_1,0.45,5.973,0.7386363744735718,352224210,8617726
fwdPass_32_2_2,0.57,116.912,0.9053030303030304,366342759,7888348
fwdPass_32_2_2,0.6880000000000001,239.758,0.9242424242424242,660088101,9545450
fwdPass_16_2_2,0.358,75.36800000000001,0.9242424242424242,365535786,9612280
depth_16_16_1,0.3939999999999999,9.405,0.7083333134651184,631299231,11451404
fwdPass_64_2_2,1.103,245.379,0.9204545454545454,294843409,8637138
fwdPass_8_2_2,0.164,42.553,0.9090909090909092,530143950,9098358
depth_4_4_1,0.232,7.029999999999999,0.7575757503509521,718802242,13115531
fwdPass_4_2_2,0.114,28.331,0.7727272727272727,618502054,10317056
depth_8_8_1,0.229,9.457,0.7424242496490479,720870405,12987326
hybrid_16_4_2,0.172,26.724,0.8712121212121212,428412293,10344878
hybrid_32_4_2,0.257,64.78200000000001,0.9128787878787878,727532154,13111882
depth_4_4_2,0.2339999999999999,9.403,0.8636363744735718,720920220,13012234
depth_8_8_2,0.251,9.134,0.875,763232386,13119994
depth_16_16_2,0.408,10.56,0.7916666865348816,827224555,12897924
fwdPass_4_2_2,0.095,28.727,0.7083333333333334,709360962,13110795
fwdPass_8_2_2,0.192,61.991,0.8939393939393939,705615653,12982666
fwdPass_16_2_2,0.307,120.265,0.8787878787878788,682041854,13002976
depth_32_32_2,0.528,6.47,0.6818181872367859,537260669,9006054
hybrid_16_8_2,0.1,14.729,0.696969696969697,765011592,12863011
hybrid_32_8_2,0.184,21.112,0.8787878787878788,410489321,7657074
depth_4_4_2,0.237,5.5360000000000005,0.8560606241226196,372941927,11626658
depth_4_4_2,0.2339999999999999,9.451,0.875,720870405,12987326
depth_4_4_2,0.235,8.524000000000001,0.8939393758773804,725973060,13065250
depth_4_4_2,0.24,9.28,0.875,704367086,12906687
depth_4_4_2,0.2339999999999999,4.988,0.4772727191448211,401107969,4245231
fwdPass_32_2_2,0.784,219.572,0.9545454545454546,703139390,10001483
fwdPass_32_2_2,0.6819999999999999,241.886,0.9053030303030304,710789417,13085695
hybrid_16_4_2,0.145,19.162,0.8409090909090909,346503459,7978142
hybrid_16_4_2,0.127,30.18,0.7159090909090909,727361686,12907819
hybrid_16_4_2,0.158,33.382000000000005,0.8863636363636364,732456243,12989694
hybrid_16_4_2,0.143,31.927,0.7462121212121212,733977014,13011026
hybrid_16_4_2,0.129,28.296000000000003,0.7045454545454546,732452155,12986122
hybrid_16_8_2,0.091,14.693,0.7689393939393939,682357026,8243483
hybrid_16_8_2,0.0989999999999999,16.288,0.7992424242424242,770254794,13019210
hybrid_16_8_2,0.0839999999999999,14.428,0.6856060606060606,775421250,13118859
hybrid_16_8_2,0.09,16.378,0.6515151515151515,752952058,12910004
hybrid_16_8_2,0.085,15.483,0.6818181818181818,775421250,13118859
depth_4_2_2,0.2339999999999999,8.493,0.8484848737716675,732506058,13014602
